revised,revision_source,census_id,csdname,provider,pop_2021,office,election_type,ward_type,district_scope,districts,n_districts,seats_per_district,district_source_url,block_vote,max_votes,max_votes_source
FALSE,,3515014,Peterborough,EveryAnswer,83651,Councillor,Ward,MMD,Ward,Otonabee;Monaghan;Town;Ashburnham;Northcrest,5,2,https://www.peterborough.ca/news/posts/municipal-election-nominations-open-may-1/,TRUE,2,https://www.peterborough.ca/media/05bjtmf3/2026-candidates-guide-part-b.pdf; https://www.peterborough.ca/news/posts/municipal-election-nominations-open-may-1/
FALSE,,3518001,Pickering,EveryAnswer,99186,"Councillor, Regional",Ward,MMD,Ward,Wards 1-3,3,1,https://www.pickering.ca/council-city-administration/elections/offices-to-be-elected/,FALSE,1,
FALSE,,3518001,Pickering,EveryAnswer,99186,"Councillor, City",Ward,MMD,Ward,Wards 1-3,3,1,https://www.pickering.ca/council-city-administration/elections/offices-to-be-elected/,FALSE,1,
FALSE,,3519038,Richmond Hill,Leger,202022,"Councillor, Regional and Local",Hybrid,Mixed,At-large,At-large,1,2,https://www.richmondhill.ca/en/living-here/election-candidates.aspx,TRUE,2,https://www.richmondhill.ca/en/living-here/voter-information.aspx
FALSE,,3519038,Richmond Hill,Leger,202022,"Councillor, Ward",Hybrid,Mixed,Ward,Wards 1-6,6,1,https://www.richmondhill.ca/en/living-here/election-candidates.aspx,TRUE,1,https://www.richmondhill.ca/en/living-here/voter-information.aspx
FALSE,,3538030,Sarnia,EveryAnswer,72047,"Councillor, City",At-Large,N/A,At-large,At-large,1,4,https://www.sarnia.ca/city-government/elections/2026-election/unofficial-list-of-candidates/,TRUE,4,https://www.sarnia.ca/public-notices/notice-of-nomination-avis-de-candidature-au-poste-2026-municipal-election/; https://en.wikipedia.org/wiki/2022_Lambton_County_municipal_elections
FALSE,,3538030,Sarnia,EveryAnswer,72047,"Councillor, City-County",At-Large,N/A,At-large,At-large,1,4,https://www.sarnia.ca/city-government/elections/2026-election/unofficial-list-of-candidates/,TRUE,4,https://www.sarnia.ca/public-notices/notice-of-nomination-avis-de-candidature-au-poste-2026-municipal-election/; https://en.wikipedia.org/wiki/2022_Lambton_County_municipal_elections
FALSE,,3526053,St. Catharines,Leger,136803,"Councillor, City",Hybrid,MMD,Ward,Wards 1-6,6,2,https://www.stcatharines.ca/council-and-administration/mayor-and-council/ward-councillors/,TRUE,2,https://en.wikipedia.org/wiki/2026_Niagara_Region_municipal_elections; https://www.stcatharines.ca/council-and-administration/mayor-and-council/ward-councillors/
FALSE,,3558004,Thunder Bay,Leger,108843,"Councillor, At-Large",Hybrid,Mixed,At-large,At-large,1,5,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx#At-Large-Councillor-Five-5-to-be-elected,TRUE,5,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx; https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-at-large-candidates-forum-1.6609355
FALSE,,3558004,Thunder Bay,Leger,108843,"Councillor, Ward",Hybrid,Mixed,Ward,Current River;McIntyre;McKellar;Neebing;Northwood;Red River;Westfort,7,1,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx#At-Large-Councillor-Five-5-to-be-elected,TRUE,1,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx; https://en.wikipedia.org/wiki/Thunder_Bay_City_Council
FALSE,,3520005,Toronto,Leger,2794356,Councillor,Ward,SMD,Ward,Wards 1-25,25,1,https://www.toronto.ca/city-government/elections/candidate-list/,FALSE,1,
FALSE,,3519028,Vaughan,Leger,323103,"Councillor, Local and Regional",Hybrid,Mixed,At-large,At-large,1,4,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election,TRUE,4,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election; https://en.wikipedia.org/wiki/2026_York_Region_municipal_elections
FALSE,,3519028,Vaughan,Leger,323103,"Councillor, Ward",Hybrid,Mixed,Ward,Wards 1-5,5,1,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election,TRUE,1,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election; https://en.wikipedia.org/wiki/2026_York_Region_municipal_elections
FALSE,,3530016,Waterloo,Leger,121436,"Councillor, Ward",Ward,SMD,Ward,Wards 1-7,7,1,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/,TRUE,1,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/
FALSE,,3530016,Waterloo,Leger,121436,"Councillor, Regional",Ward,SMD,At-large,At-large,1,2,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/,TRUE,2,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/
TRUE,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/,3518009,Whitby,Leger,138501,"Councillor, Regional",Ward,SMD,Ward,Wards 1-4,4,1,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/; https://planyourvote.voterview.ca/candidate-list,FALSE,1,
TRUE,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/,3518009,Whitby,Leger,138501,"Councillor, Local",Ward,SMD,Ward,Wards 1-4,4,1,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/; https://planyourvote.voterview.ca/candidate-list,FALSE,1,
FALSE,,3537039,Windsor,Leger,229660,Councillor,Ward,SMD,Ward,Wards 1-10,10,1,https://citywindsor.ca/city-hall/municipal-election/who-is-running/councillor-ward-2,FALSE,1,
