census_id,csdname,tier,county,website,matched_on
3557019,Plummer Additional,Single Tier,Algoma,https://plummertownship.ca/,name
3538035,Plympton-Wyoming,Lower Tier,Lambton,http://plympton-wyoming.com/,name
3538031,Point Edward,Lower Tier,Lambton,http://www.villageofpointedward.com/,name
3526011,Port Colborne,Lower Tier,Niagara,http://www.portcolborne.ca/,name
3514020,Port Hope,Lower Tier,Northumberland,http://www.porthope.ca/,name
3549060,Powassan,Single Tier,Parry Sound,http://www.powassan.net/,name
3507008,Prescott,Single Tier,Leeds and Grenville,http://www.prescott.ca/,name
3502,Prescott and Russell,Upper Tier,Prescott and Russell,http://www.prescott-russell.on.ca/,name
3557066,Prince,Single Tier,Algoma,https://www.princetownship.ca/,name
3513020,Prince Edward County,Single Tier,Prince Edward,http://www.pecounty.on.ca/,name
3523001,Puslinch,Lower Tier,Wellington,https://puslinch.ca/,name
3512015,Quinte West,Single Tier,Hastings,http://www.quintewest.ca/,name
3559042,Rainy River,Single Tier,Rainy River,http://www.rainyriver.ca/,name
3543019,Ramara,Lower Tier,Simcoe,http://www.ramara.ca/,name
3560042,Red Lake,Single Tier,Kenora,http://www.red-lake.com/,name
3558041,Red Rock,Single Tier,Thunder Bay,http://www.redrocktownship.com/,name
3547048,Renfrew,Lower Tier,Renfrew,http://www.renfrewontario.com/,name+tier
3547,Renfrew,Upper Tier,Renfrew,http://www.countyofrenfrew.on.ca/,name+tier
3519038,Richmond Hill,Lower Tier,York,http://www.richmondhill.ca/,name
3507040,Rideau Lakes,Lower Tier,Leeds and Grenville,http://www.twprideaulakes.on.ca/,name
3502048,Russell,Lower Tier,Prescott and Russell,http://www.russell.ca/,name
3549024,Ryerson,Single Tier,Parry Sound,http://www.ryersontownship.ca/,name
3552023,Sables-Spanish Rivers,Single Tier,Sudbury,http://www.sables-spanish.ca/,name
3538030,Sarnia,Lower Tier,Lambton,http://www.sarnia.ca/,name
3541045,Saugeen Shores,Lower Tier,Bruce,http://www.saugeenshores.ca/,name
3557061,Sault Ste. Marie,Single Tier,Algoma,https://saultstemarie.ca/,name
3558051,Schreiber,Single Tier,Thunder Bay,http://www.schreiber.ca/,name
3518020,Scugog,Lower Tier,Durham,https://www.scugog.ca/en/index.aspx,name
3549003,Seguin,Single Tier,Parry Sound,https://www.seguin.ca/,url-override
3515015,Selwyn,Lower Tier,Peterborough,http://www.selwyntownship.ca/en/index.asp,name
3543015,Severn,Lower Tier,Simcoe,http://www.townshipofsevern.com/,name
3522021,Shelburne,Lower Tier,Dufferin,https://www.shelburne.ca/en/index.aspx/,name
3558028,Shuniah,Single Tier,Thunder Bay,http://www.shuniah.org/,name
3543,Simcoe,Upper Tier,Simcoe,http://www.simcoe.ca/,name
3560034,Sioux Lookout,Single Tier,Kenora,http://www.siouxlookout.ca/,name
3560008,Sioux Narrows-Nestor Falls,Single Tier,Kenora,http://www.siouxnarrows-nestorfalls.ca/,name
3509004,Smiths Falls,Single Tier,Lanark,http://www.smithsfalls.ca/,name
3556048,Smooth Rock Falls,Single Tier,Cochrane,https://smoothrockfalls.ca/,url-override
3548001,South Algonquin,Single Tier,Nipissing,https://www.southalgonquin.ca/,name
3541004,South Bruce,Lower Tier,Bruce,http://www.town.southbruce.on.ca/,name
3541055,South Bruce Peninsula,Lower Tier,Bruce,http://www.southbrucepeninsula.com/,name
3501020,South Dundas,Lower Tier,"Stormont, Dundas and Glengarry",http://www.southdundas.com/,name
3510020,South Frontenac,Lower Tier,Frontenac,https://www.southfrontenac.net/,url-override
3501005,South Glengarry,Lower Tier,"Stormont, Dundas and Glengarry",http://southglengarry.com/,name
3540005,South Huron,Lower Tier,Huron,http://www.southhuron.ca/,name
3549056,South River,Single Tier,Parry Sound,http://www.southriverontario.com/,name
3501011,South Stormont,Lower Tier,"Stormont, Dundas and Glengarry",http://southstormont.ca/,name
3532012,South-West Oxford,Lower Tier,Oxford,http://www.swox.org/,name
3542005,Southgate,Lower Tier,Grey,https://www.southgate.ca/en/index.aspx,name
3539005,Southwest Middlesex,Lower Tier,Middlesex,http://www.southwestmiddlesex.ca/,name
3534024,Southwold,Lower Tier,Elgin,https://www.southwold.ca/,url-override
3557039,Spanish,Single Tier,Algoma,http://www.townofspanish.com/,name
3543009,Springwater,Lower Tier,Simcoe,http://www.springwater.ca/,name
3526053,St. Catharines,Lower Tier,Niagara,http://www.stcatharines.ca/,name
3538003,St. Clair,Lower Tier,Lambton,http://www.twp.stclair.on.ca/,name
3557008,St. Joseph,Single Tier,Algoma,http://www.stjosephtownship.com/,name
3531016,St. Marys,Single Tier,Perth,http://www.townofstmarys.com/,name
3534021,St. Thomas,Single Tier,Elgin,https://www.stthomas.ca/,name
3552004,St.-Charles,Single Tier,Sudbury,http://www.stcharlesontario.ca/,name
3512020,Stirling-Rawdon,Lower Tier,Hastings,http://www.stirling-rawdon.com/,name
3511030,Stone Mills,Lower Tier,Lennox and Addington,http://www.stonemills.com/,name
3501,Stormont,Upper Tier,"Stormont, Dundas and Glengarry",http://www.sdg.on.ca/,name
3531011,Stratford,Single Tier,Perth,https://www.stratford.ca/en/index.aspx,name
3539015,Strathroy-Caradoc,Lower Tier,Middlesex,http://www.strathroy-caradoc.ca/,name
3549046,Strong,Single Tier,Parry Sound,http://www.strongtownship.com/,name
3549048,Sundridge,Single Tier,Parry Sound,http://www.sundridge.ca/,name
3557014,Tarbutt and Tarbutt Additional,Single Tier,Algoma,https://tarbutt.ca/,override
3543071,Tay,Lower Tier,Simcoe,http://www.tay.ca/,name
3509015,Tay Valley,Lower Tier,Lanark,http://www.tayvalleytwp.ca/,name
3537048,Tecumseh,Lower Tier,Essex,http://www.tecumseh.ca/,name
3551001,Tehkummah,Single Tier,Manitoulin,https://tehkummah.ca/,name
3548069,Temagami,Single Tier,Nipissing,http://www.temagami.ca/,name
3554020,Temiskaming Shores,Single Tier,Timiskaming,http://www.temiskamingshores.ca/,name
3558054,Terrace Bay,Single Tier,Thunder Bay,http://www.terracebay.ca/,name
3539027,Thames Centre,Lower Tier,Middlesex,http://www.thamescentre.on.ca/,name
3549005,The Archipelago,Single Tier,Parry Sound,http://www.thearchipelago.on.ca/,name
3542045,The Blue Mountains,Lower Tier,Grey,http://www.thebluemountains.ca/,name
3502025,The Nation / La Nation,Lower Tier,Prescott and Russell,http://www.nationmun.ca/,name
3557040,The North Shore,Single Tier,Algoma,http://www.townshipofthenorthshore.ca/,name
3557028,Thessalon,Single Tier,Algoma,http://www.thessalon.ca/,name
3554038,Thornloe,Single Tier,Timiskaming,,name
3526037,Thorold,Lower Tier,Niagara,http://www.thorold.com/,name
3558004,Thunder Bay,Single Tier,Thunder Bay,http://www.thunderbay.ca/,name
3532004,Tillsonburg,Lower Tier,Oxford,https://www.tillsonburg.ca/,url-override
3556027,Timmins,Single Tier,Cochrane,http://www.timmins.ca/,name
3543068,Tiny,Lower Tier,Simcoe,https://www.tiny.ca/,name
3520005,Toronto,Single Tier,Toronto,http://www.toronto.ca/,name
3514045,Trent Hills,Lower Tier,Northumberland,http://www.trenthills.ca/,name
3515044,Trent Lakes,Lower Tier,Peterborough,http://www.trentlakes.ca/,name
3512048,Tudor and Cashel,Lower Tier,Hastings,http://www.tudorandcashel.com/,name
3512030,Tweed,Lower Tier,Hastings,http://www.tweed.ca/,name
3512001,Tyendinaga,Lower Tier,Hastings,http://www.tyendinagatownship.com/,name
3518029,Uxbridge,Lower Tier,Durham,http://www.town.uxbridge.on.ca/,name
3556070,Val Rita-Harty,Single Tier,Cochrane,http://valharty.ca/en/,name
3519028,Vaughan,Lower Tier,York,http://www.city.vaughan.on.ca/,name
3526014,Wainfleet,Lower Tier,Niagara,http://www.wainfleet.ca/,name
3538043,Warwick,Lower Tier,Lambton,http://www.warwicktownship.ca/,name
3543064,Wasaga Beach,Lower Tier,Simcoe,http://www.wasagabeach.com/,name
3530016,Waterloo,Lower Tier,Waterloo,http://www.city.waterloo.on.ca/,name+tier
3530,Waterloo,Upper Tier,Waterloo,http://www.region.waterloo.on.ca/,name+tier
3557076,Wawa,Single Tier,Algoma,http://www.wawa.cc/,name
3526032,Welland,Lower Tier,Niagara,http://www.welland.ca/,name
3530027,Wellesley,Lower Tier,Waterloo,https://www.wellesley.ca/en/index.aspx,name
3523,Wellington,Upper Tier,Wellington,http://www.wellington.ca/,name
3523050,Wellington North,Lower Tier,Wellington,http://www.wellington-north.com/,name
3534042,West Elgin,Lower Tier,Elgin,http://www.westelgin.net/,name
3542004,West Grey,Lower Tier,Grey,http://www.westgrey.com/,name
3526021,West Lincoln,Lower Tier,Niagara,http://www.westlincoln.ca/,name
3548055,West Nipissing / Nipissing Ouest,Single Tier,Nipissing,http://www.westnipissing.ca/,name
3531025,West Perth,Lower Tier,Perth,https://www.westperth.com/en/index.aspx,name
3507033,Westport,Lower Tier,Leeds and Grenville,https://villageofwestport.ca/,url-override
3518009,Whitby,Lower Tier,Durham,http://www.whitby.ca/en/,name
3519044,Whitchurch-Stouffville,Lower Tier,York,http://www.townofws.com/,name
3557091,White River,Single Tier,Algoma,http://www.whiteriver.ca/,name
3549039,Whitestone,Single Tier,Parry Sound,http://www.whitestone.ca/,name
3547056,Whitewater Region,Lower Tier,Renfrew,http://www.whitewaterregion.ca/,name
3530020,Wilmot,Lower Tier,Waterloo,http://www.wilmot.ca/,name
3537039,Windsor,Single Tier,Essex,http://www.citywindsor.ca/,name
3512054,Wollaston,Lower Tier,Hastings,https://wollaston.ca/,name
3532042,Woodstock,Lower Tier,Oxford,https://www.cityofwoodstock.ca/en/index.aspx,name
3530035,Woolwich,Lower Tier,Waterloo,http://www.woolwich.ca/,name
3519,York,Upper Tier,York,http://www.york.ca/,name
3532027,Zorra,Lower Tier,Oxford,http://www.zorra.on.ca/,name
