census_id,csdname,race,office,district_scope,district,n_candidates,retrieved
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 6,2,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 7,2,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 8,2,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 9,2,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 10,2,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 2,2,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 8,2,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 11,2,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 14,2,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 1,2,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 8,2,2026-08-11
3524009,Milton,ward,"Councillor, Town",Ward,Ward 3,2,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 1,2,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 4,2,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 6,2,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 11,2,2026-08-11
3543007,New Tecumseth,mayor,Mayor,At-large,At-large,2,2026-08-12
3543007,New Tecumseth,deputy mayor,Deputy Mayor,At-large,At-large,2,2026-08-12
3543007,New Tecumseth,ward,Councillor,Ward,Ward 2,2,2026-08-12
3543007,New Tecumseth,ward,Councillor,Ward,Ward 3,2,2026-08-12
3543007,New Tecumseth,ward,Councillor,Ward,Ward 5,2,2026-08-12
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 6,2,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 4,2,2026-08-11
3518013,Oshawa,regional councillor,"Councillor, Regional and City",Ward,Ward 1,2,2026-08-11
3518013,Oshawa,regional councillor,"Councillor, Regional and City",Ward,Ward 2,2,2026-08-11
3518013,Oshawa,regional councillor,"Councillor, Regional and City",Ward,Ward 5,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 2 Orléans West-Innes,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 3 Barrhaven West,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 5 West Carleton,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 11 Beacon Hill- Cyrville,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 12 Rideau-Vanier,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 13 Rideau-Rockcliffe,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 19 Orléans South- Navan,2,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 22 Riverside South-Findlay Creek,2,2026-08-11
3518001,Pickering,regional councillor,"Councillor, Regional",Ward,Ward 2,2,2026-08-11
3518001,Pickering,ward,"Councillor, City",Ward,Ward 3,2,2026-08-11
3519038,Richmond Hill,mayor,Mayor,At-large,At-large,2,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 1,2,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 3,2,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 6,2,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,Current River,2,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,McKellar,2,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,Northwood,2,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 2,2,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 6,2,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 14,2,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 15,2,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 24,2,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 3,2,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 4,2,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 6,2,2026-08-11
3518009,Whitby,regional councillor,"Councillor, Regional",Ward,West Ward 2,2,2026-08-11
3518009,Whitby,regional councillor,"Councillor, Regional",Ward,Centre Ward 3,2,2026-08-11
3518009,Whitby,regional councillor,"Councillor, Regional",Ward,East Ward 4,2,2026-08-11
