census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3554026,Harley,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554026,Harley,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3554014,Harris,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554014,Harris,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3512076,Hastings Highlands,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,county-inference
3512076,Hastings Highlands,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,schools
3515030,Havelock-Belmont-Methuen,Peterborough,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,0,1,crawl
3515030,Havelock-Belmont-Methuen,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,0,2,crawl|schools
3502008,Hawkesbury,Prescott and Russell,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,crawl
3502008,Hawkesbury,Prescott and Russell,public,B66192,Upper Canada District School Board,0,2,crawl|sections
3547098,"Head, Clara and Maria",Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,county-inference
3547098,"Head, Clara and Maria",Renfrew,public,B66214,Renfrew County District School Board,0,1,county-inference
3556076,Hearst,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3556076,Hearst,Cochrane,public,B28002,District School Board Ontario North East,0,1,schools
3546005,Highlands East,Haliburton,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,sections
3546005,Highlands East,Haliburton,public,B66087,Trillium Lakelands District School Board,0,2,schools|sections
3554034,Hilliard,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554034,Hilliard,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3557004,Hilton,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557004,Hilton,Algoma,public,B28010,Algoma District School Board,0,1,county-inference
3557006,Hilton Beach,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557006,Hilton Beach,Algoma,public,B28010,Algoma District School Board,0,1,county-inference
3557096,Hornepayne,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557096,Hornepayne,Algoma,public,B28010,Algoma District School Board,0,1,schools
3547046,Horton,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,county-inference
3547046,Horton,Renfrew,public,B66214,Renfrew County District School Board,0,1,county-inference
3540046,Howick,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,1,county-inference
3540046,Howick,Huron,public,B66010,Avon Maitland District School Board,0,1,schools
3554021,Hudson,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554021,Hudson,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3544042,Huntsville,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,schools
3544042,Huntsville,Muskoka,public,B66087,Trillium Lakelands District School Board,0,1,schools
3540040,Huron East,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,2,schools|sections
3540040,Huron East,Huron,public,B66010,Avon Maitland District School Board,0,2,crawl|schools
3557035,Huron Shores,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557035,Huron Shores,Algoma,public,B28010,Algoma District School Board,0,1,schools
