census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3538016,Enniskillen,Lambton,public,B66036,Lambton Kent District School Board,1,210
3523017,Erin,Wellington,catholic,B67130,Wellington Catholic District School Board,1,265
3523017,Erin,Wellington,public,B66117,Upper Grand District School Board,4,1350
3552026,Espanola,Sudbury,catholic,B29025,Huron-Superior Catholic District School Board,1,255
3552026,Espanola,Sudbury,public,B28029,Rainbow District School Board,2,765
3543021,Essa,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,875
3543021,Essa,Simcoe,public,B66109,Simcoe County District School Board,5,2865
3537016,Essex,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,3,1935
3537016,Essex,Essex,public,B66028,Greater Essex County District School Board,5,2595
3526003,Fort Erie,Niagara,catholic,B67156,Niagara Catholic District School Board,4,910
3526003,Fort Erie,Niagara,public,B66150,District School Board of Niagara,5,2980
3559012,Fort Frances,Rainy River,catholic,B29041,Northwest Catholic District School Board,1,455
3559012,Fort Frances,Rainy River,public,B28053,Rainy River District School Board,4,1355
3552001,French River / Rivière des Français,Sudbury,public,B28029,Rainbow District School Board,1,95
3507017,Front of Yonge,Leeds and Grenville,public,B66192,Upper Canada District School Board,1,120
3510005,Frontenac Islands,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,0
3510005,Frontenac Islands,Frontenac,public,B66206,Limestone District School Board,1,0
3507024,Gananoque,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,1,290
3507024,Gananoque,Leeds and Grenville,public,B66192,Upper Canada District School Board,3,625
3544065,Georgian Bay,Muskoka,public,B28037,Near North District School Board,1,95
3544065,Georgian Bay,Muskoka,public,B66087,Trillium Lakelands District School Board,1,60
3519070,Georgina,York,catholic,B67075,York Catholic District School Board,5,1380
3519070,Georgina,York,public,B66095,York Region District School Board,13,5410
3558012,Gillies,Thunder Bay,public,B28061,Lakehead District School Board,1,140
3540028,Goderich,Huron,catholic,B67016,Huron Perth Catholic District School Board,1,325
3540028,Goderich,Huron,public,B66010,Avon Maitland District School Board,3,1030
3551026,Gore Bay,Manitoulin,public,B28029,Rainbow District School Board,1,175
3544002,Gravenhurst,Muskoka,public,B66087,Trillium Lakelands District School Board,4,1155
3547008,Greater Madawaska,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,75
3511015,Greater Napanee,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,250
3511015,Greater Napanee,Lennox and Addington,public,B66206,Limestone District School Board,4,2405
3553005,Greater Sudbury / Grand Sudbury,Sudbury,catholic,B29033,Sudbury Catholic District School Board,19,6945
3553005,Greater Sudbury / Grand Sudbury,Sudbury,public,B28029,Rainbow District School Board,37,12080
3558075,Greenstone,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,2,155
3558075,Greenstone,Thunder Bay,public,B28070,Superior-Greenstone District School Board,5,275
3542015,Grey Highlands,Grey,public,B66001,Bluewater District School Board,5,2120
3526065,Grimsby,Niagara,catholic,B67156,Niagara Catholic District School Board,3,1840
3526065,Grimsby,Niagara,public,B66150,District School Board of Niagara,6,2005
3523008,Guelph,Wellington,catholic,B67130,Wellington Catholic District School Board,17,6940
3523008,Guelph,Wellington,public,B66117,Upper Grand District School Board,34,16865
3523009,Guelph/Eramosa,Wellington,catholic,B67130,Wellington Catholic District School Board,1,335
3523009,Guelph/Eramosa,Wellington,public,B66117,Upper Grand District School Board,1,235
3528018,Haldimand County,Haldimand,catholic,B67164,Brant Haldimand Norfolk Catholic District School Board,6,1425
3528018,Haldimand County,Haldimand,public,B66168,Grand Erie District School Board,14,5535
3524015,Halton Hills,Halton,catholic,B67113,Halton Catholic District School Board,9,4580
3524015,Halton Hills,Halton,public,B66133,Halton District School Board,15,5305
3525005,Hamilton,Hamilton,catholic,B67121,Hamilton-Wentworth Catholic District School Board,56,31010
3525005,Hamilton,Hamilton,public,B66141,Hamilton-Wentworth District School Board,97,51775
3514019,Hamilton,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,4,860
3542029,Hanover,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,1,345
3542029,Hanover,Grey,public,B66001,Bluewater District School Board,4,1360
3512076,Hastings Highlands,Hastings,public,B66222,Hastings & Prince Edward District School Board,2,200
3515030,Havelock-Belmont-Methuen,Peterborough,public,B66079,Kawartha Pine Ridge District School Board,1,205
3556076,Hearst,Cochrane,public,B28002,District School Board Ontario North East,2,65
3546005,Highlands East,Haliburton,public,B66087,Trillium Lakelands District School Board,2,50
3557096,Hornepayne,Algoma,public,B28010,Algoma District School Board,2,70
3540046,Howick,Huron,public,B66010,Avon Maitland District School Board,1,340
3544042,Huntsville,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,200
3544042,Huntsville,Muskoka,public,B66087,Trillium Lakelands District School Board,6,2690
3540040,Huron East,Huron,catholic,B67016,Huron Perth Catholic District School Board,2,370
3540040,Huron East,Huron,public,B66010,Avon Maitland District School Board,2,485
3557035,Huron Shores,Algoma,public,B28010,Algoma District School Board,1,200
3541015,Huron-Kinloss,Bruce,public,B66001,Bluewater District School Board,1,180
3560001,Ignace,Kenora,public,B28045,Keewatin-Patricia District School Board,2,110
3532018,Ingersoll,Oxford,catholic,B67032,London District Catholic School Board,1,390
3532018,Ingersoll,Oxford,public,B66044,Thames Valley District School Board,4,2455
3543017,Innisfil,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,3,1380
3543017,Innisfil,Simcoe,public,B66109,Simcoe County District School Board,7,4730
3556031,Iroquois Falls,Cochrane,catholic,B29009,Northeastern Catholic District School Board,1,170
3556031,Iroquois Falls,Cochrane,public,B28002,District School Board Ontario North East,3,355
3554042,James,Timiskaming,public,B28002,District School Board Ontario North East,1,0
3557016,Johnson,Algoma,public,B28010,Algoma District School Board,2,520
3556066,Kapuskasing,Cochrane,catholic,B29009,Northeastern Catholic District School Board,1,140
3556066,Kapuskasing,Cochrane,public,B28002,District School Board Ontario North East,2,405
3516010,Kawartha Lakes,Kawartha Lakes,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,6,1145
3516010,Kawartha Lakes,Kawartha Lakes,public,B66087,Trillium Lakelands District School Board,23,9550
3560010,Kenora,Kenora,catholic,B29050,Kenora Catholic District School Board,5,1120
3560010,Kenora,Kenora,public,B28045,Keewatin-Patricia District School Board,6,1680
3560010,Kenora,Kenora,public,B28053,Rainy River District School Board,1,0
3554024,Kerns,Timiskaming,public,B28002,District School Board Ontario North East,1,65
3547033,"Killaloe, Hagarty and Richards",Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,105
3547033,"Killaloe, Hagarty and Richards",Renfrew,public,B66214,Renfrew County District School Board,1,110
3552036,Killarney,Sudbury,catholic,B29033,Sudbury Catholic District School Board,1,0
3541024,Kincardine,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,1,530
3541024,Kincardine,Bruce,public,B66001,Bluewater District School Board,5,1700
3519049,King,York,catholic,B67075,York Catholic District School Board,3,1460
3519049,King,York,public,B66095,York Region District School Board,5,1915
3510010,Kingston,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,15,5890
3510010,Kingston,Frontenac,public,B66206,Limestone District School Board,37,12700
3537013,Kingsville,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,1,495
3537013,Kingsville,Essex,public,B66028,Greater Essex County District School Board,3,2170
3554068,Kirkland Lake,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,2,355
3554068,Kirkland Lake,Timiskaming,public,B28002,District School Board Ontario North East,4,1040
3530013,Kitchener,Waterloo,catholic,B67148,Waterloo Catholic District School Board,23,13400
3530013,Kitchener,Waterloo,public,B66176,Waterloo Region District School Board,49,25660
3559016,La Vallee,Rainy River,public,B28053,Rainy River District School Board,1,130
3537034,LaSalle,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,3,2330
3537034,LaSalle,Essex,public,B66028,Greater Essex County District School Board,4,2730
3544027,Lake of Bays,Muskoka,public,B66087,Trillium Lakelands District School Board,1,140
3559047,Lake of the Woods,Rainy River,public,B28053,Rainy River District School Board,1,0
3537064,Lakeshore,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,5,1475
3537064,Lakeshore,Essex,public,B66028,Greater Essex County District School Board,4,2530
3538040,Lambton Shores,Lambton,catholic,B67040,St Clair Catholic District School Board,1,325
3538040,Lambton Shores,Lambton,public,B66036,Lambton Kent District School Board,4,1320
3547090,Laurentian Hills,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,55
3547075,Laurentian Valley,Renfrew,public,B66214,Renfrew County District School Board,1,395
3537003,Leamington,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,3,1495
3537003,Leamington,Essex,public,B66028,Greater Essex County District School Board,6,2485
3526057,Lincoln,Niagara,catholic,B67156,Niagara Catholic District School Board,3,1130
3526057,Lincoln,Niagara,public,B66150,District School Board of Niagara,4,2650
3539036,London,Middlesex,catholic,B67032,London District Catholic School Board,34,19430
3539036,London,Middlesex,public,B66044,Thames Valley District School Board,86,49625
3511005,Loyalist,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,405
3511005,Loyalist,Lennox and Addington,public,B66206,Limestone District School Board,7,1980
3539060,Lucan Biddulph,Middlesex,catholic,B67032,London District Catholic School Board,1,325
3539060,Lucan Biddulph,Middlesex,public,B66044,Thames Valley District School Board,1,645
3560021,Machin,Kenora,public,B28045,Keewatin-Patricia District School Board,1,105
3547030,Madawaska Valley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,2,305
3547030,Madawaska Valley,Renfrew,public,B66214,Renfrew County District School Board,2,320
3512036,Madoc,Hastings,public,B66222,Hastings & Prince Edward District School Board,3,1085
3549043,Magnetawan,Parry Sound,public,B28037,Near North District School Board,1,80
3534010,Malahide,Elgin,public,B66044,Thames Valley District School Board,3,875
3558066,Manitouwadge,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,1,115
3558066,Manitouwadge,Thunder Bay,public,B28070,Superior-Greenstone District School Board,2,70
3523033,Mapleton,Wellington,public,B66117,Upper Grand District School Board,4,800
3558059,Marathon,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,1,120
3558059,Marathon,Thunder Bay,public,B28070,Superior-Greenstone District School Board,2,335
3519036,Markham,York,catholic,B67075,York Catholic District School Board,20,10985
3519036,Markham,York,public,B66095,York Region District School Board,66,45465
3552013,Markstay-Warren,Sudbury,public,B28029,Rainbow District School Board,1,175
3512046,Marmora and Lake,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,140
3512046,Marmora and Lake,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,305
3548021,Mattawa,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,1,0
3548021,Mattawa,Nipissing,public,B28037,Near North District School Board,2,230
3549031,McDougall,Parry Sound,public,B28037,Near North District School Board,2,370
3547003,McNab/Braeside,Renfrew,public,B66214,Renfrew County District School Board,1,285
3542047,Meaford,Grey,public,B66001,Bluewater District School Board,2,1185
3507052,Merrickville-Wolford,Leeds and Grenville,public,B66192,Upper Canada District School Board,1,140
3539033,Middlesex Centre,Middlesex,catholic,B67032,London District Catholic School Board,1,570
3539033,Middlesex Centre,Middlesex,public,B66044,Thames Valley District School Board,3,1075
3543074,Midland,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,3,1115
3543074,Midland,Simcoe,public,B66109,Simcoe County District School Board,4,2325
3524009,Milton,Halton,catholic,B67113,Halton Catholic District School Board,12,11025
3524009,Milton,Halton,public,B66133,Halton District School Board,22,17335
3546015,Minden Hills,Haliburton,public,B66087,Trillium Lakelands District School Board,1,460
3523043,Minto,Wellington,public,B66117,Upper Grand District School Board,3,1660
3521005,Mississauga,Peel,catholic,B67083,Dufferin-Peel Catholic District School Board,83,37480
3521005,Mississauga,Peel,public,B66125,Peel District School Board,120,60915
3509030,Mississippi Mills,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,1,375
3509030,Mississippi Mills,Lanark,public,B66192,Upper Canada District School Board,5,1360
3522012,Mono,Dufferin,public,B66117,Upper Grand District School Board,1,295
3559031,Morley,Rainy River,catholic,B29041,Northwest Catholic District School Board,1,0
3522016,Mulmur,Dufferin,public,B66117,Upper Grand District School Board,1,550
3544053,Muskoka Lakes,Muskoka,public,B66087,Trillium Lakelands District School Board,2,350
3558001,Neebing,Thunder Bay,public,B28045,Keewatin-Patricia District School Board,2,0
3558001,Neebing,Thunder Bay,public,B28061,Lakehead District School Board,2,215
3543007,New Tecumseth,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,6,3080
3543007,New Tecumseth,Simcoe,public,B66109,Simcoe County District School Board,7,4540
3519048,Newmarket,York,catholic,B67075,York Catholic District School Board,7,3440
3519048,Newmarket,York,public,B66095,York Region District School Board,21,12270
3526043,Niagara Falls,Niagara,catholic,B67156,Niagara Catholic District School Board,13,5920
3526043,Niagara Falls,Niagara,public,B66150,District School Board of Niagara,18,8200
3526047,Niagara-on-the-Lake,Niagara,catholic,B67156,Niagara Catholic District School Board,1,265
3526047,Niagara-on-the-Lake,Niagara,public,B66150,District School Board of Niagara,2,865
3558044,Nipigon,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,1,120
3558044,Nipigon,Thunder Bay,public,B28070,Superior-Greenstone District School Board,1,125
3549071,Nipissing,Parry Sound,public,B28037,Near North District School Board,4,950
3528052,Norfolk County,Norfolk,catholic,B67164,Brant Haldimand Norfolk Catholic District School Board,8,2680
3528052,Norfolk County,Norfolk,public,B66168,Grand Erie District School Board,20,7145
3548044,North Bay,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,8,2520
3548044,North Bay,Nipissing,public,B28037,Near North District School Board,8,3880
3530004,North Dumfries,Waterloo,catholic,B67148,Waterloo Catholic District School Board,1,355
3530004,North Dumfries,Waterloo,public,B66176,Waterloo Region District School Board,2,770
3501030,North Dundas,"Stormont, Dundas and Glengarry",catholic,B67172,Catholic District School Board of Eastern Ontario,1,215
3501030,North Dundas,"Stormont, Dundas and Glengarry",public,B66192,Upper Canada District School Board,5,1365
3510045,North Frontenac,Frontenac,public,B66206,Limestone District School Board,1,0
