census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3511030,Stone Mills,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,50
3511030,Stone Mills,Lennox and Addington,public,B66206,Limestone District School Board,4,515
3531011,Stratford,Perth,catholic,B67016,Huron Perth Catholic District School Board,5,1555
3531011,Stratford,Perth,public,B66010,Avon Maitland District School Board,8,3765
3539015,Strathroy-Caradoc,Middlesex,catholic,B67032,London District Catholic School Board,3,985
3539015,Strathroy-Caradoc,Middlesex,public,B66044,Thames Valley District School Board,6,3220
3549048,Sundridge,Parry Sound,public,B28037,Near North District School Board,1,250
3543071,Tay,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,290
3543071,Tay,Simcoe,public,B66109,Simcoe County District School Board,1,630
3509015,Tay Valley,Lanark,public,B66192,Upper Canada District School Board,1,105
3537048,Tecumseh,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,3,1385
3537048,Tecumseh,Essex,public,B66028,Greater Essex County District School Board,4,2210
3548069,Temagami,Nipissing,public,B28002,District School Board Ontario North East,1,0
3558054,Terrace Bay,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,1,60
3558054,Terrace Bay,Thunder Bay,public,B28070,Superior-Greenstone District School Board,2,185
3539027,Thames Centre,Middlesex,catholic,B67032,London District Catholic School Board,1,270
3539027,Thames Centre,Middlesex,public,B66044,Thames Valley District School Board,4,1880
3542045,The Blue Mountains,Grey,public,B66001,Bluewater District School Board,1,620
3502025,The Nation / La Nation,Prescott and Russell,public,B66192,Upper Canada District School Board,1,535
3557028,Thessalon,Algoma,public,B28010,Algoma District School Board,1,155
3526037,Thorold,Niagara,catholic,B67156,Niagara Catholic District School Board,6,1005
3526037,Thorold,Niagara,public,B66150,District School Board of Niagara,5,2285
3558004,Thunder Bay,Thunder Bay,catholic,B29068,Thunder Bay Catholic District School Board,21,6850
3558004,Thunder Bay,Thunder Bay,public,B28061,Lakehead District School Board,19,7785
3532004,Tillsonburg,Oxford,catholic,B67032,London District Catholic School Board,2,540
3532004,Tillsonburg,Oxford,public,B66044,Thames Valley District School Board,4,2315
3556027,Timmins,Cochrane,catholic,B29009,Northeastern Catholic District School Board,4,985
3556027,Timmins,Cochrane,public,B28002,District School Board Ontario North East,11,2940
3543068,Tiny,Simcoe,public,B66109,Simcoe County District School Board,1,270
3520005,Toronto,Toronto,catholic,B67059,Toronto Catholic District School Board,204,86705
3520005,Toronto,Toronto,public,B66052,Toronto District School Board,579,236925
3514045,Trent Hills,Northumberland,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,1,280
3514045,Trent Hills,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,5,1370
3512030,Tweed,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,120
3512030,Tweed,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,395
3512001,Tyendinaga,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,2,280
3512001,Tyendinaga,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,380
3518029,Uxbridge,Durham,catholic,B67105,Durham Catholic District School Board,1,340
3518029,Uxbridge,Durham,public,B66060,Durham District School Board,6,2810
